Invoice No,Country Code,Sales ($),Margin ($),Margin (%),Vendor,Customer,Partner,End User,Invoice Date,Type,oSpace Program Name,ProgramID
326603-01,AU,129.994,19.4988,0.149997692,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",19/06/2024,Others,,
326602-01,AU,118.1804,17.7294,0.1500198,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",19/06/2024,Others,,
326704-01,AU,9903.6814,792.3029,0.080000847,Netskope,SecureWare Pty Ltd,SecureWare Pty Ltd,Hertz Australia Pty. Limited,19/06/2024,Others,,
326577-01,AU,13270.825,1327.0375,0.099996609,"Crowdstrike, Inc.",TENODEX PTY LTD - ( trading as Automotive Cyber Group),TENODEX PTY LTD - ( trading as Automotive Cyber Group),Melba Support Services,19/06/2024,Others,,
326696-01,AU,85913.4234,9095.8604,0.105872401,Imperva,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Metro Trains Melbourne Pty Limited,19/06/2024,Control,,
326456-01,AU,78123.9456,9095.0826,0.116418629,Imperva,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Metro Trains Melbourne Pty Limited,19/06/2024,Control,,
326717-01,AU,3526.45,220.4031,0.062499993,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,Teachers Mutual Bank Limited,20/06/2024,Target,,
326677-01,AU,842.8472,41.5564,0.049304785,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,Transurban Limited,20/06/2024,Target,,
326715-01,AU,120171.5007,11000.4132,0.091539285,SolarWinds Europe,NTT Australia Pty Ltd,NTT Australia Pty Ltd,ROY HILL HOLDINGS PTY LTD,20/06/2024,Target,,
326598-01,AU,4427.0833,442.7083,0.099999993,"Forescout Technologies, Inc",NTT Australia Pty Ltd,NTT Australia Pty Ltd,Bendigo Health Care Group (T/as Bendigo Health),20/06/2024,Target,,
326581-01,AU,7617.3772,976.0592,0.128135863,"Crowdstrike, Inc.",PRJ CONSULTING PTY LTD t/a 3columns,PRJ CONSULTING PTY LTD t/a 3columns,PRJ CONSULTING PTY LTD t/a 3columns,20/06/2024,Target,,
326658-01,AU,66481.7184,3101.8184,0.046656712,Proofpoint,Brennan IT Pty Ltd,Brennan IT Pty Ltd,Sunwater Limited,20/06/2024,Control,,
326675-01,AU,6689.9877,200.5536,0.029978172,Netskope,CLEAR CORPORATE TECHNOLOGY PTY LTD T/A CSW IT,CLEAR CORPORATE TECHNOLOGY PTY LTD T/A CSW IT,Victorian Chamber of Commerce and Industry,20/06/2024,Control,,
326698-01,AU,0,0,NaN,Arista,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,20/06/2024,Control,,
326718-01,AU,5388.4953,538.809,0.099992478,Netskope,DQA PTY LTD,DQA PTY LTD,DQA PTY LTD,20/06/2024,Others,,
326503-01,AU,0,0,NaN,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,,20/06/2024,Others,,
326721-01,AU,37336.4238,1660.2138,0.044466332,Proofpoint,ITSEC AUSTRALIA PTY LTD,ITSEC AUSTRALIA PTY LTD,ST ANDREWS TOOWOOMBA HOSPITAL,20/06/2024,Others,,
326373-01,AU,2457.4429,196.5949,0.079999784,Okta,KLOUD TECH PTY. LTD.,KLOUD TECH PTY. LTD.,IF SERVICES PTY LTD,20/06/2024,Others,,
326651-01,AU,28388.0401,2271.0401,0.079999891,SUSE,Meridian IT Pty Ltd,Meridian IT Pty Ltd,UGL Pty Limited,20/06/2024,Others,,
326604-01,AU,59.0901,8.8647,0.150020054,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",20/06/2024,Others,,
326259-02,AU,295.4495,44.3232,0.150019546,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",20/06/2024,Others,,
326735-01,AU,5250.2513,525.0149,0.099998052,"Crowdstrike, Inc.",Protectera Pty Ltd,Protectera Pty Ltd,ROCKETBOOTS LIMITED,20/06/2024,Others,,
326719-01,AU,10464.3358,837.1445,0.079999774,Netskope,Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,LUNA PARK SYDNEY PTY LIMITED,20/06/2024,Control,,
326712-01,AU,13470.38,875.38,0.064985546,Proofpoint,Sparx Solutions Pty Ltd,Sparx Solutions Pty Ltd,ILLION AUSTRALIA PTY LTD,20/06/2024,Control,,
326630-01,AU,11959.23,956.73,0.079999298,SUSE,XENON Systems Pty Ltd,XENON Systems Pty Ltd,"Department of Climate Change, Energy, the Environment and Water",20/06/2024,Control,,
326672-01,AU,185618.4,14853.276,0.080020494,Micro Focus,CDM Australia Pty Ltd,CDM Australia Pty Ltd,St John Of God Health Care Inc,21/06/2024,Target,,
321942-02,AU,99371.1305,6995.7683,0.07040041,Rubrik,Tecala ICT Pty Limited,Tecala ICT Pty Limited,Newington College,21/06/2024,Target,,
326663-01,AU,105520.11,10552.005,0.099999943,Venafi,Baidam Solutions Pty Ltd,Baidam Solutions Pty Ltd,IP Australia,21/06/2024,Control,,
326757-01,AU,33115.66,1325.66,0.040031212,Proofpoint,CULTURAL CYBER SECURITY PTY LTD,CULTURAL CYBER SECURITY PTY LTD,Airservices Australia,21/06/2024,Others,,
326788-01,AU,585.2,0,0,ExtraHop,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Department of Defence,21/06/2024,Control,,
325374-03,AU,0,0,NaN,Oracle,Deloitte Touche Tohmatsu,Deloitte Touche Tohmatsu, Fire Rescue Victoria,21/06/2024,Control,,
326767-01,AU,21592.35,1727.39,0.080000093,Micro Focus,Department of Justice (State Solicitor's Office ) WA,Department of Justice (State Solicitor's Office ) WA,Department of Justice (State Solicitor's Office ) WA,21/06/2024,Others,,
326759-01,AU,5822.5345,434.7207,0.074661765,Netskope,Fuse Technology Pty Ltd,Fuse Technology Pty Ltd,APTUM LEGAL PTY LTD,21/06/2024,Others,,
326720-01,AU,10387.75,727.15,0.070000722,Micro Focus,Informotion Pty Ltd,Informotion Pty Ltd,Port Stephens Council,21/06/2024,Others,,
326768-01,AU,974.45,99.2,0.101801016,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,CAE Australia Pty Ltd,21/06/2024,Control,,
326714-01,AU,46801.8,3757.872,0.080293322,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Manningham City Council,21/06/2024,Others,,
326610-01,AU,8238.2,661.48,0.080294239,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Legal Services Board,21/06/2024,Others,,
326595-01,AU,2352,189.28,0.08047619,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Upper Hunter Shire Council,21/06/2024,Others,,
326760-01,AU,59.0886,8.8632,0.149998477,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",21/06/2024,Others,,
326694-01,AU,23262.75,1861.6916,0.08002887,Micro Focus,Proficiency Group Pty Ltd (T/as Information Proficiency),Proficiency Group Pty Ltd (T/as Information Proficiency),Shire of Toodyay,21/06/2024,Others,,
326770-01,AU,43444.6975,4100.0944,0.094375025,"Crowdstrike, Inc.",Restack Technology Pty Ltd,Restack Technology Pty Ltd,VIRIDIAN GLASS PTY LTD,21/06/2024,Others,,
326693-01,AU,6569.0125,262.7625,0.040000304,Proofpoint,Sparx Solutions Pty Ltd,Sparx Solutions Pty Ltd,TRAFFIC TECHNOLOGIES LTD,21/06/2024,Control,,
326761-01,AU,70535.993,9178.3643,0.130123132,Netskope,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,J.D BARBARO & Others (formerly CORRS CHAMBERS WESTGARTH),21/06/2024,Control,,
322978-01,AU,101902.7,8974.1313,0.088065687,Arista,TOM SHAW PTY LTD,TOM SHAW PTY LTD,Integral Diagnostics Limited,21/06/2024,Others,,
326703-01,AU,40186,3653.31,0.090910018,Micro Focus,WyldLynx Pty Ltd,WyldLynx Pty Ltd,Cross River Rail Delivery Authority,21/06/2024,Others,,
326816-01,AU,55909.2,5822.3147,0.104138759,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Department of Jobs Precincts and Regions,24/06/2024,Target,,
326781-01,AU,204172.7033,9918.0216,0.048576629,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,UniSuper Management Pty Ltd,24/06/2024,Target,,
326755-01,AU,210667.281,8426.781,0.040000426,Proofpoint,Telstra Limited,TELSTRA BROADCAST SERVICES PTY LIMITED,AUSTRALIAN BROADCASTING CORPORATION,24/06/2024,Target,,
326822-01,AU,10746,860.13,0.080041876,Micro Focus,AccessHQ,AccessHQ,Victoria Racing Club Limited,24/06/2024,Others,,
322743-11,AU,35.4822,5.3222,0.149996336,"Crowdstrike, Inc.",Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,24/06/2024,Others,,
322073-02,AU,92642.0736,5558.5248,0.060000004,Micro Focus,BPM Vision Pty Ltd,BPM Vision Pty Ltd,Alfred Health,24/06/2024,Others,,
326883-01,AU,300924.0804,21305.4225,0.070799992,Imperva,CyberCX Pty Ltd,CyberCX Pty Ltd,Yoogalu Pty Ltd,24/06/2024,Control,,
326476-01,AU,5610.5074,336.5074,0.059978069,Netskope,DANET TECHNOLOGY PTY LIMITED & JRK GROUP PTY LTD,DANET TECHNOLOGY PTY LIMITED & JRK GROUP PTY LTD,Financial Services of Australia Pty Ltd,24/06/2024,Control,,
326485-01,AU,96932.7259,11035.4181,0.113846155,ExtraHop,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Department of Defence,24/06/2024,Control,,
326782-01,AU,3790.63,0,0,"Amazon Web Services, Inc.",Fermi Systems Pty. Ltd.,Fermi Systems Pty. Ltd.,,24/06/2024,Others,,
326737-01,AU,11829.3,1297.281,0.10966676,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,DEPARTMENT OF JUSTICE (TAS),24/06/2024,Others,,
326713-01,AU,3943.1,432.42,0.109664984,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,East Gippsland Region Water Corporation,24/06/2024,Others,,
326799-01,AU,16475.46,1677.21,0.101800496,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,WorkCover Queensland,24/06/2024,Control,,
326785-01,AU,21333.31,2133.33,0.099999953,Micro Focus,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Uniting (NSW/ ACT),24/06/2024,Control,,
326775-01,AU,253820.35,5076.41,0.020000012,Micro Focus,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Westpac Banking Corporation,24/06/2024,Control,,
326773-01,AU,1856520.72,37130.43,0.020000008,Micro Focus,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Westpac Banking Corporation,24/06/2024,Control,,
326407-01,AU,14263.128,999.0645,0.070045259,Imperva,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,BHP Biliton Group Operations Pty Ltd,24/06/2024,Control,,
326791-01,AU,313.96,39.48,0.125748503,SolarWinds Europe,Iocane Pty Ltd,Iocane Pty Ltd,Iocane Pty Ltd,24/06/2024,Others,,
326625-01,AU,5468.6361,656.2676,0.120005718,"Crowdstrike, Inc.",JD STRIDE PTY LTD,JD STRIDE PTY LTD,JD STRIDE PTY LTD,24/06/2024,Others,,
326599-01,AU,32452,1947.38,0.060008012,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,National Heavy Vehicle Regulator,24/06/2024,Others,,
317472-03,AU,7985.7372,603.504,0.075572735,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Office of The Victorian Information Commissioner,24/06/2024,Others,,
326769-01,AU,22871.52,1944.08,0.085000035,SUSE,NEW ERA TECHNOLOGY AU05 PTY LTD,NEW ERA TECHNOLOGY AU05 PTY LTD,REACH AUSTRALIA PTY LIMITED,24/06/2024,Control,,
326722-01,AU,6319.15,379.15,0.060000158,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,Arafura Rare Earths Limited,24/06/2024,Others,,
326787-01,AU,116384.7584,9658.1747,0.082984876,Netskope,SALTT TECHNOLOGIES PTY LTD,SALTT TECHNOLOGIES PTY LTD,RGF Staffing APEJ,24/06/2024,Others,,
326758-01,AU,35714.2857,714.2857,0.02,Proofpoint,Securite Pty Ltd,Securite Pty Ltd,AUSTRALIAN HEALTH & NUTRITION ASSOCIATION LIMITED,24/06/2024,Others,,
317620-03,AU,384934.2091,11548.2191,0.030000501,Okta,Solista Pty Ltd,Solista Pty Ltd,THE REECE GROUP FOUNDATION LIMITED (T/A Reece Group),24/06/2024,Others,,
326798-01,AU,92539.1375,3701.6375,0.040000778,Proofpoint,THALES CYBER SERVICES AUSTRALIA PTY LTD,THALES CYBER SERVICES AUSTRALIA PTY LTD,WorkCover Queensland,24/06/2024,Control,,
326792-01,AU,20084.7515,2288.6265,0.11394846,Imperva,THALES CYBER SERVICES AUSTRALIA PTY LTD,THALES CYBER SERVICES AUSTRALIA PTY LTD,Moonee Valley City Council,24/06/2024,Control,,
325834-03,AU,191.5198,28.7283,0.150001723,"Crowdstrike, Inc.",The Trustee for cue IT Business Trust,The Trustee for cue IT Business Trust,The Trustee for cue IT Business Trust,24/06/2024,Others,,
326275-02,AU,30.3688,4.556,0.150022391,"Crowdstrike, Inc.",The Trustee for National IT Solutions Australia Unit Trust,The Trustee for National IT Solutions Australia Unit Trust,The Trustee for National IT Solutions Australia Unit Trust,24/06/2024,Others,,
325605-01,AU,88387.95,4861.2837,0.054999394,Arista,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,24/06/2024,Others,,
322065-03,AU,48186.6036,2891.1888,0.059999846,Micro Focus,WIPRO REVOLUTION IT PTY LTD,WIPRO REVOLUTION IT PTY LTD,Uniting Care Queensland,24/06/2024,Others,,
326832-01,AU,69152.9675,9330.4899,0.134925373,Gigamon,Nexon Asia Pacific Pty. Ltd.,Nexon Asia Pacific Pty. Ltd.,AGL Macquarie Pty Ltd,25/06/2024,Target,,
326780-01,AU,1776.72,177.67,0.099998874,Oracle,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Greater Western Water,25/06/2024,Target,,
324443-02,AU,5796.326,637.5958,0.10999999,Nozomi Networks,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Transurban Limited,25/06/2024,Target,,
326808-01,AU,67183.36,2687.36,0.040000381,Proofpoint,Telstra Limited,TELSTRA BROADCAST SERVICES PTY LIMITED,Dalrymple Bay Coal Terminal Pty Ltd,25/06/2024,Target,,
326806-01,AU,24117.1979,964.6879,0.039999999,Proofpoint,Telstra Limited,TELSTRA BROADCAST SERVICES PTY LIMITED,Dalrymple Bay Coal Terminal Pty Ltd,25/06/2024,Target,,
326823-01,AU,7503.45,550.3,0.073339597,SolarWinds Europe,Touchpoint Technology Pty Ltd,Touchpoint Technology Pty Ltd,Hitachi Rail GTS,25/06/2024,Target,,
325959-03,AU,9064.93,1122.694,0.123850267,"Crowdstrike, Inc.",VINet Solutions Pty Ltd,VINet Solutions Pty Ltd,VINet Solutions Pty Ltd,25/06/2024,Target,,
C326820-01,AU,-10746,-860.13,0.080041876,Micro Focus,AccessHQ,AccessHQ,,25/06/2024,Others,,
326784-01,AU,49799.1,5680.35,0.114065314,"Forescout Technologies, Inc",Alphawest Services Pty Ltd,Alphawest Services Pty Ltd,Toyota Motor Corporation Australia Limited,25/06/2024,Control,,
326766-01,AU,922927.4611,72181.1924,0.078208955,ExtraHop,Amnesium Pty Ltd,Amnesium Pty Ltd,Australian Taxation Office,25/06/2024,Control,,
326662-01,AU,108.1935,16.2307,0.150015482,"Crowdstrike, Inc.",Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,25/06/2024,Others,,
326804-01,AU,28440.934,1990.856,0.06999967,Rubrik,Centum Services Pty Ltd,Centum Services Pty Ltd,Mercy Community Services SEQ Ltd,25/06/2024,Control,,
326836-01,AU,70866.63,2126.03,0.030000439,CyberArk,DATABL PTY LTD,DATABL PTY LTD,Imdex Ltd,25/06/2024,Others,,
326826-01,AU,4557.451,463.951,0.101800546,SolarWinds Europe,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Zurich Financial Services Australia,25/06/2024,Control,,
326395-01,AU,3962.31,356.61,0.09000053,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,Judicial Commission of NSW,25/06/2024,Others,,
326825-01,AU,23925,4179.57,0.174694671,Micro Focus,Informotion Pty Ltd,Informotion Pty Ltd,Central Land Council,25/06/2024,Others,,
326824-01,AU,10625,1849.25,0.174047059,Micro Focus,Informotion Pty Ltd,Informotion Pty Ltd,Central Land Council,25/06/2024,Others,,
326838-01,AU,2398.77,203.88,0.084993559,SUSE,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,ASAHI BEVERAGES PTY LTD,25/06/2024,Control,,
326812-01,AU,598.71,60.96,0.101818911,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Uniting (NSW/ ACT),25/06/2024,Control,,
326774-01,AU,1813811.83,36276.23,0.019999996,Micro Focus,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Westpac Banking Corporation,25/06/2024,Control,,
326814-01,AU,26421.8751,1321.0938,0.050000002,CyberArk,IPSec Pty Ltd,IPSec Pty Ltd,Alfred Health,25/06/2024,Control,,
326790-01,AU,144022.54,11530.365,0.080059448,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,OFFICE OF NATIONAL INTELLIGENCE,25/06/2024,Others,,
326831-01,AU,17386.971,1738.221,0.099972617,Oracle,Outcomex Pty Ltd,Outcomex Pty Ltd,Department of the Prime Minister and Cabinet,25/06/2024,Control,,
326829-01,AU,9743.78,584.63,0.060000328,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,Queensland Hydro Pty Ltd,25/06/2024,Others,,
326802-01,AU,4454.29,267.25,0.059998339,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,MCCOSKER CONTRACTING PTY LTD,25/06/2024,Others,,
324741-06,AU,117.4697,8.8916,0.075692711,"Crowdstrike, Inc.",Reseau NSW Pty Ltd,Reseau NSW Pty Ltd,Reseau Pty Ltd,25/06/2024,Control,,
326807-01,AU,68802.9688,2752.1188,0.040000001,Proofpoint,SABASAI HOLDINGS PTY LTD,SABASAI HOLDINGS PTY LTD,DEPARTMENT OF THE TREASURY,25/06/2024,Others,,
326803-01,AU,10527.9013,1200.8072,0.114059504,"Forescout Technologies, Inc",SECNET PTY LTD,SECNET PTY LTD,THE AUSTRALIAN COUNCIL FOR EDUCATIONAL RESEARCH LIMITED,25/06/2024,Others,,
326783-01,AU,0,61.98,Infinity,"Amazon Web Services, Inc.",The Trustee for COMUNET UNIT TRUST,The Trustee for COMUNET UNIT TRUST,,25/06/2024,Others,,
326794-01,AU,21510.6828,3680.376,0.171095266,Arista,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,25/06/2024,Others,,
326793-01,AU,23860.5264,4116.7872,0.172535473,Arista,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,25/06/2024,Others,,
326733-01,AU,45083.7246,901.6758,0.020000029,IBM,UGL Pty Limited,UGL Pty Limited,ADELAIDE METRO,25/06/2024,Control,,
326819-01,AU,12393.12,1558.46,0.12575203,SolarWinds Europe,Vectec Pty Ltd,Vectec Pty Ltd,THE HOYTS CORPORATION PTY. LIMITED,25/06/2024,Control,,
326789-01,AU,2220.41,266.45,0.12000036,Micro Focus,Vectec Pty Ltd,Vectec Pty Ltd,GALLAGHER BASSETT SERVICES PTY LTD,25/06/2024,Control,,
326553-01,AU,66720.64,6673.2168,0.100017278,Micro Focus,WyldLynx Pty Ltd,WyldLynx Pty Ltd,GOLD CORPORATION PTY LTD,25/06/2024,Others,,
326659-01,AU,9507.7357,2301.4364,0.242059358,Nozomi Networks,BT AUSTRALASIA PTY LIMITED,BT AUSTRALASIA PTY LIMITED,South32 Group Operations Pty Ltd,26/06/2024,Target,,
326861-01,AU,1568,137.2,0.0875,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,NCS Pearson Pty Ltd,26/06/2024,Target,,
326762-01,AU,363280.089,36328.019,0.100000028,Venafi,DATA#3 LIMITED,DATA#3 LIMITED,Department of Education Skills and Employment,26/06/2024,Target,,
326834-01,AU,787.5,78.75,0.1,Druva,Ethan Global Pty Ltd,Ethan Global Pty Ltd,WORKPAC EMPLOYMENT SERVICES PTY LTD,26/06/2024,Target,,
323040-10,AU,704.0105,70.4058,0.100006747,"Crowdstrike, Inc.",EVER NIMBLE PTY LTD,EVER NIMBLE PTY LTD,OSLO TECH PTY LTD,26/06/2024,Target,,
326839-01,AU,26128.88,1374.38,0.052600035,SolarWinds Europe,NTT Australia Pty Ltd,NTT Australia Pty Ltd,SA Water,26/06/2024,Target,,
326828-01,AU,5112.2294,306.7244,0.059998168,"Crowdstrike, Inc.",ONESTEP GROUP (WA) PTY LTD,ONESTEP GROUP (WA) PTY LTD,Australian Premium Iron Pty Ltd,26/06/2024,Target,,
326815-01,AU,70274.4486,7846.8963,0.111660731,"Crowdstrike, Inc.",ONESTEP GROUP (WA) PTY LTD,ONESTEP GROUP (WA) PTY LTD,KIMBERLEY PORTS AUTHORITY,26/06/2024,Target,,
326856-01,AU,81955.548,8368.104,0.1021054,Netskope,Tecala ICT Pty Limited,Tecala ICT Pty Limited,My Plan Manager,26/06/2024,Target,,
326855-01,AU,12535.3144,1253.5313,0.099999989,"Crowdstrike, Inc.",Advent One Pty Ltd,Advent One Pty Ltd,Advent One Pty Ltd,26/06/2024,Control,,
326865-01,AU,3342.4978,406.4478,0.12160002,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Health Care Complaints Commission,26/06/2024,Control,,
326858-01,AU,10142.4,887.46,0.0875,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Department of Defence,26/06/2024,Control,,
326843-01,AU,42706.17,2562.3459,0.059999431,Netskope,Brennan IT Pty Ltd,Brennan IT Pty Ltd,HopgoodGanim,26/06/2024,Control,,
326811-01,AU,83069.04,6668.412,0.080275539,Micro Focus,Civica Pty Ltd,Civica Pty Ltd,City of Wanneroo,26/06/2024,Others,,
C326847-01,AU,-585.2,-585.2,1,ExtraHop,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,,26/06/2024,Control,,
326800-01,AU,986989.1776,87304.889,0.088455771,ExtraHop,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Department of Home Affairs,26/06/2024,Control,,
326795-01,AU,39431,3549.46,0.090016992,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,"Department of Police, Fire and Emergency Management (Tasmania)",26/06/2024,Others,,
323222-05,AU,0,-388.5975,-Infinity,Micro Focus,iCognition Pty Limited,iCognition Pty Limited,iCognition Pty Limited,26/06/2024,Others,,
323222-04,AU,28770.588,2428.3368,0.084403447,Micro Focus,iCognition Pty Limited,iCognition Pty Limited,iCognition Pty Limited,26/06/2024,Others,,
326850-01,AU,21250,3696.64,0.173959529,Micro Focus,Informotion Pty Ltd,Informotion Pty Ltd,Parliament of NSW,26/06/2024,Others,,
326849-01,AU,15288,2184,0.142857143,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,McConnell Dowell Constructors Ltd,26/06/2024,Control,,
326837-01,AU,22388.52,1903.02,0.084999812,SUSE,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,ASAHI BEVERAGES PTY LTD,26/06/2024,Control,,
326854-01,AU,4835.94,193.44,0.040000496,Proofpoint,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,Housing Plus,26/06/2024,Others,,
326853-01,AU,45836.8001,1834.8801,0.04003072,Proofpoint,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,Inghams Enterprises Pty Ltd,26/06/2024,Others,,
326840-01,AU,43561.35,6307.4125,0.144793779,Imperva,Logicalis Australia Pty Ltd,Logicalis Australia Pty Ltd,Brookfield Johnson Controls,26/06/2024,Control,,
325472-02,AU,355.8886,35.7289,0.100393494,"Crowdstrike, Inc.",Nueva Group Pty Ltd (T/A Nueva Solutions),Nueva Group Pty Ltd (T/A Nueva Solutions),CXO SIT-DOWN PTY LTD,26/06/2024,Control,,
326786-01,AU,295.442,44.3157,0.149997969,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",26/06/2024,Others,,
325898-03,AU,228.0989,34.2142,0.149997216,"Crowdstrike, Inc.","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)","PETKOVSKI, ANDREJ (Trading as Osmicro Networks)",26/06/2024,Others,,
326818-01,AU,18991.01,1519.34,0.080003117,Micro Focus,Planit Test Management Solutions Pty Ltd,Planit Test Management Solutions Pty Ltd,LINFOX AUSTRALIA PTY LTD,26/06/2024,Others,,
326841-01,AU,4871.89,292.315,0.060000328,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,Durack Civil Pty Ltd,26/06/2024,Others,,
326805-01,AU,6165.81,492.9771,0.079953339,Netskope,Restack Technology Pty Ltd,Restack Technology Pty Ltd,QUDOS MUTUAL LTD,26/06/2024,Others,,
326852-01,AU,6534.576,392.076,0.06000022,CyberArk,RIVERCITY SOLUTIONS PTY LTD,RIVERCITY SOLUTIONS PTY LTD,MODORAS PTY LTD,26/06/2024,Others,,
326772-01,AU,28612.093,2288.968,0.08000002,Rubrik,Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,PPK Mining Equipment Pty Ltd,26/06/2024,Control,,
326862-01,AU,12935.6,1229.6,0.095055506,SUSE,SoftwareONE Australia Pty Limited,SoftwareONE Australia Pty Limited,Village Roadshow Limited,26/06/2024,Control,,
326864-01,AU,3449.7895,345.0082,0.100008479,Imperva,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Hitachi Construction Machinary (Aust) Pty Ltd,26/06/2024,Control,,
326633-01,AU,6658.3806,799.0056,0.119999989,Nozomi Networks,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,INGHAMS GROUP LIMITED,26/06/2024,Others,,
323373-01,AU,45886.0165,2211.478,0.048195031,Arista,Vectec Pty Ltd,Vectec Pty Ltd,ASX LIMITED,26/06/2024,Control,,
